Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Q16        TO-252-3S         1565.639mil      -3149mil   1619.772mil      -3149mil    1373.71mil  -3239.552mil  T         90.00 NCE4060K       
D6         D7227             2601.772mil    -3332.5mil   2601.772mil      -3245mil   2601.772mil      -3245mil  T        270.00 1N4004         
R53        0805R              1207.63mil      -1824mil       1247mil      -1824mil       1247mil      -1824mil  T        180.00 470k           
R52        0805R              1209.63mil      -1729mil       1249mil      -1729mil       1249mil      -1729mil  T        180.00 22R            
J9         SIP-2L            2844.772mil      -3379mil   2844.772mil      -3379mil   2794.772mil      -3379mil  T          0.00 OUT-C          
R61        AXIAL-0.4          790.772mil      -2057mil    790.772mil      -2057mil    790.772mil      -2257mil  T         90.00 2.2            
C46        AXIAL-0.4          255.772mil      -2302mil    255.772mil      -2302mil    455.772mil      -2302mil  T        180.00 47nF/630V      
R22        0805R              330.772mil    -369.37mil    330.772mil       -330mil    330.772mil       -330mil  T        270.00 10K            
Q3         TO-252-3S         1159.905mil      -2922mil   1105.772mil      -2922mil   1351.834mil  -3012.552mil  T         90.00 NCE4060K       
Q2         TO-252-3S         1686.905mil      -2924mil   1632.772mil      -2924mil   1878.834mil  -3014.552mil  T         90.00 NCE4060K       
Q1         TO-252-3S         2204.905mil      -2915mil   2150.772mil      -2915mil   2396.834mil  -3005.552mil  T         90.00 NCE4060K       
J7         SIP-2L            1354.772mil    -3379.5mil   1354.772mil    -3379.5mil   1304.772mil    -3379.5mil  T          0.00 OUT-C          
J6         SIP-2L            1856.272mil    -3379.5mil   1856.272mil    -3379.5mil   1806.272mil    -3379.5mil  T          0.00 OUT-B          
J1         SIP-2L            2357.772mil    -3379.5mil   2357.772mil    -3379.5mil   2307.772mil    -3379.5mil  T          0.00 OUT-A          
J4         SIP-4L            3453.772mil       -150mil   3303.772mil       -150mil   3303.772mil       -150mil  T        360.00 USRT           
J3         SIP-4L            2859.772mil       -150mil   2709.772mil       -150mil   2709.772mil       -150mil  T        360.00 IIC            
D5         D7227             1096.772mil    -3325.5mil   1096.772mil      -3238mil   1096.772mil      -3238mil  T        270.00 1N4004         
D4         D7227             1610.258mil    -3324.5mil   1610.258mil      -3237mil   1610.258mil      -3237mil  T        270.00 1N4004         
D1         D7227             2111.744mil    -3324.5mil   2111.745mil      -3237mil   2111.744mil      -3237mil  T        270.00 1N4004         
U5         SOT23-5(DBV)      3462.433mil   -424.402mil   3403.378mil       -387mil   3403.378mil       -387mil  T          0.00 TLV70233DBVR   
R11        0805R             2147.402mil   -1824.74mil   2186.772mil   -1824.74mil   2186.772mil   -1824.74mil  T        180.00 470k           
R6         0805R             2381.402mil   -1823.74mil   2420.772mil   -1823.74mil   2420.772mil   -1823.74mil  T        180.00 470k           
R3         0805R              1465.37mil      -1819mil       1426mil      -1819mil       1426mil      -1819mil  T          0.00 470K           
R10        0805R             2144.402mil      -1743mil   2183.772mil      -1743mil   2183.772mil      -1743mil  T        180.00 22R            
R5         0805R             2381.402mil      -1743mil   2420.772mil      -1743mil   2420.772mil      -1743mil  T        180.00 22R            
R1         0805R              1459.37mil      -1729mil       1420mil      -1729mil       1420mil      -1729mil  T        360.00 22R            
R2         0805R              492.402mil       -313mil    531.772mil       -313mil    531.772mil       -313mil  T        180.00 10K            
R9         0805R             1620.772mil    -356.37mil   1620.772mil       -317mil   1620.772mil       -317mil  T        270.00 10K            
R8         0805R             1821.022mil    -356.37mil   1821.022mil       -317mil   1821.022mil       -317mil  T        270.00 10K            
R7         0805R             2021.272mil    -356.37mil   2021.272mil       -317mil   2021.272mil       -317mil  T        270.00 10K            
R4         0805R              1094.63mil       -321mil       1134mil       -321mil       1134mil       -321mil  T        180.00 10K            
D3         sod323            1101.244mil       -411mil       1054mil       -411mil       1054mil       -411mil  T          0.00 1N4148         
D2         sod323             499.016mil       -408mil    451.772mil       -408mil    451.772mil       -408mil  T          0.00 1N4148         
C27        0603C             3310.607mil   -361.528mil   3310.607mil       -332mil   3310.607mil       -332mil  T        270.00 10uF/10V       
C26        0603C             3609.378mil   -416.473mil   3609.378mil       -446mil   3609.378mil       -446mil  T         90.00 10uF/10V       
C28        0603C             3247.607mil   -361.473mil   3247.607mil       -391mil   3247.607mil       -391mil  T         90.00 0.1uF/10V      
C41        1210C                 1570mil  -2620.976mil       1570mil      -2557mil       1570mil      -2557mil  T        270.00 GRM32ER71A476KE15L
L5         SRR1210               1164mil  -2353.819mil       1164mil      -2155mil       1164mil      -2155mil  T        270.00 SRR1210-560M   
P5         SIP-10L           1971.772mil       -150mil   1521.772mil       -150mil   1521.772mil       -150mil  T        360.00 Header 10      
R58        0805R             2421.772mil    -356.37mil   2421.772mil       -317mil   2421.772mil       -317mil  T        270.00 10K            
R59        0805R             2221.522mil    -356.37mil   2221.522mil    -395.74mil   2221.522mil    -395.74mil  T         90.00 10K            
P7         CH3.96-8P          637.796mil  -2317.655mil    637.796mil  -1771.984mil    637.796mil  -1771.984mil  T        270.00 Header 8       
HUMID2     SIP-2L             196.772mil      -3169mil    196.772mil      -3169mil    246.772mil      -3169mil  T        180.00 Header 2       
