ASCII 字库索引表（底部对齐）
序号     字符   Unicode    偏移(Hex)      宽度     高度     pitch 
0           0x00000020   0x00000000     1      16     1     
1      !    0x00000021   0x00000010     2      16     1     
2      "    0x00000022   0x00000020     3      16     1     
3      #    0x00000023   0x00000030     10     16     2     
4      $    0x00000024   0x00000050     7      16     1     
5      %    0x00000025   0x00000060     12     16     2     
6      &    0x00000026   0x00000080     13     16     2     
7      '    0x00000027   0x000000A0     1      16     1     
8      (    0x00000028   0x000000B0     4      16     1     
9      )    0x00000029   0x000000C0     4      16     1     
10     *    0x0000002A   0x000000D0     7      16     1     
11     +    0x0000002B   0x000000E0     7      16     1     
12     ,    0x0000002C   0x000000F0     2      16     1     
13     -    0x0000002D   0x00000100     5      16     1     
14     .    0x0000002E   0x00000110     2      16     1     
15     /    0x0000002F   0x00000120     7      16     1     
16     0    0x00000030   0x00000130     8      16     1     
17     1    0x00000031   0x00000140     4      16     1     
18     2    0x00000032   0x00000150     7      16     1     
19     3    0x00000033   0x00000160     8      16     1     
20     4    0x00000034   0x00000170     10     16     2     
21     5    0x00000035   0x00000190     7      16     1     
22     6    0x00000036   0x000001A0     8      16     1     
23     7    0x00000037   0x000001B0     7      16     1     
24     8    0x00000038   0x000001C0     8      16     1     
25     9    0x00000039   0x000001D0     8      16     1     
26     :    0x0000003A   0x000001E0     2      16     1     
27     ;    0x0000003B   0x000001F0     2      16     1     
28     <    0x0000003C   0x00000200     7      16     1     
29     =    0x0000003D   0x00000210     8      16     1     
30     >    0x0000003E   0x00000220     7      16     1     
31     ?    0x0000003F   0x00000230     7      16     1     
32     @    0x00000040   0x00000240     14     16     2     
33     A    0x00000041   0x00000260     11     16     2     
34     B    0x00000042   0x00000280     8      16     1     
35     C    0x00000043   0x00000290     9      16     2     
36     D    0x00000044   0x000002B0     10     16     2     
37     E    0x00000045   0x000002D0     7      16     1     
38     F    0x00000046   0x000002E0     6      16     1     
39     G    0x00000047   0x000002F0     10     16     2     
40     H    0x00000048   0x00000310     9      16     2     
41     I    0x00000049   0x00000330     2      16     1     
42     J    0x0000004A   0x00000340     5      16     1     
43     K    0x0000004B   0x00000350     8      16     1     
44     L    0x0000004C   0x00000360     6      16     1     
45     M    0x0000004D   0x00000370     12     16     2     
46     N    0x0000004E   0x00000390     10     16     2     
47     O    0x0000004F   0x000003B0     12     16     2     
48     P    0x00000050   0x000003D0     8      16     1     
49     Q    0x00000051   0x000003E0     12     16     2     
50     R    0x00000052   0x00000400     8      16     1     
51     S    0x00000053   0x00000410     8      16     1     
52     T    0x00000054   0x00000420     8      16     1     
53     U    0x00000055   0x00000430     10     16     2     
54     V    0x00000056   0x00000450     11     16     2     
55     W    0x00000057   0x00000470     16     16     2     
56     X    0x00000058   0x00000490     10     16     2     
57     Y    0x00000059   0x000004B0     10     16     2     
58     Z    0x0000005A   0x000004D0     10     16     2     
59     [    0x0000005B   0x000004F0     3      16     1     
60     \    0x0000005C   0x00000500     7      16     1     
61     ]    0x0000005D   0x00000510     3      16     1     
62     ^    0x0000005E   0x00000520     8      16     1     
63     _    0x0000005F   0x00000530     7      16     1     
64     `    0x00000060   0x00000540     3      16     1     
65     a    0x00000061   0x00000550     7      16     1     
66     b    0x00000062   0x00000560     9      16     2     
67     c    0x00000063   0x00000580     6      16     1     
68     d    0x00000064   0x00000590     8      16     1     
69     e    0x00000065   0x000005A0     8      16     1     
70     f    0x00000066   0x000005B0     5      16     1     
71     g    0x00000067   0x000005C0     8      16     1     
72     h    0x00000068   0x000005D0     8      16     1     
73     i    0x00000069   0x000005E0     2      16     1     
74     j    0x0000006A   0x000005F0     5      16     1     
75     k    0x0000006B   0x00000600     8      16     1     
76     l    0x0000006C   0x00000610     2      16     1     
77     m    0x0000006D   0x00000620     13     16     2     
78     n    0x0000006E   0x00000640     8      16     1     
79     o    0x0000006F   0x00000650     9      16     2     
80     p    0x00000070   0x00000670     9      16     2     
81     q    0x00000071   0x00000690     8      16     1     
82     r    0x00000072   0x000006A0     5      16     1     
83     s    0x00000073   0x000006B0     6      16     1     
84     t    0x00000074   0x000006C0     5      16     1     
85     u    0x00000075   0x000006D0     8      16     1     
86     v    0x00000076   0x000006E0     8      16     1     
87     w    0x00000077   0x000006F0     13     16     2     
88     x    0x00000078   0x00000710     8      16     1     
89     y    0x00000079   0x00000720     8      16     1     
90     z    0x0000007A   0x00000730     8      16     1     
91     {    0x0000007B   0x00000740     3      16     1     
92     |    0x0000007C   0x00000750     1      16     1     
93     }    0x0000007D   0x00000760     3      16     1     
94     ~    0x0000007E   0x00000770     8      16     1     
