ASCII 字库索引表（底部对齐）
序号     字符   Unicode    偏移(Hex)      宽度     高度     pitch 
0           0x00000020   0x00000000     1      32     1     
1      !    0x00000021   0x00000020     4      32     1     
2      "    0x00000022   0x00000040     6      32     1     
3      #    0x00000023   0x00000060     18     32     3     
4      $    0x00000024   0x000000C0     14     32     2     
5      %    0x00000025   0x00000100     25     32     4     
6      &    0x00000026   0x00000180     25     32     4     
7      '    0x00000027   0x00000200     2      32     1     
8      (    0x00000028   0x00000220     9      32     2     
9      )    0x00000029   0x00000260     9      32     2     
10     *    0x0000002A   0x000002A0     11     32     2     
11     +    0x0000002B   0x000002E0     16     32     2     
12     ,    0x0000002C   0x00000320     5      32     1     
13     -    0x0000002D   0x00000340     10     32     2     
14     .    0x0000002E   0x00000380     4      32     1     
15     /    0x0000002F   0x000003A0     15     32     2     
16     0    0x00000030   0x000003E0     16     32     2     
17     1    0x00000031   0x00000420     9      32     2     
18     2    0x00000032   0x00000460     16     32     2     
19     3    0x00000033   0x000004A0     15     32     2     
20     4    0x00000034   0x000004E0     19     32     3     
21     5    0x00000035   0x00000540     13     32     2     
22     6    0x00000036   0x00000580     16     32     2     
23     7    0x00000037   0x000005C0     16     32     2     
24     8    0x00000038   0x00000600     16     32     2     
25     9    0x00000039   0x00000640     15     32     2     
26     :    0x0000003A   0x00000680     4      32     1     
27     ;    0x0000003B   0x000006A0     5      32     1     
28     <    0x0000003C   0x000006C0     15     32     2     
29     =    0x0000003D   0x00000700     16     32     2     
30     >    0x0000003E   0x00000740     15     32     2     
31     ?    0x0000003F   0x00000780     12     32     2     
32     @    0x00000040   0x000007C0     28     32     4     
33     A    0x00000041   0x00000840     23     32     3     
34     B    0x00000042   0x000008A0     15     32     2     
35     C    0x00000043   0x000008E0     17     32     3     
36     D    0x00000044   0x00000940     19     32     3     
37     E    0x00000045   0x000009A0     13     32     2     
38     F    0x00000046   0x000009E0     12     32     2     
39     G    0x00000047   0x00000A20     20     32     3     
40     H    0x00000048   0x00000A80     19     32     3     
41     I    0x00000049   0x00000AE0     3      32     1     
42     J    0x0000004A   0x00000B00     9      32     2     
43     K    0x0000004B   0x00000B40     17     32     3     
44     L    0x0000004C   0x00000BA0     12     32     2     
45     M    0x0000004D   0x00000BE0     25     32     4     
46     N    0x0000004E   0x00000C60     20     32     3     
47     O    0x0000004F   0x00000CC0     22     32     3     
48     P    0x00000050   0x00000D20     15     32     2     
49     Q    0x00000051   0x00000D60     23     32     3     
50     R    0x00000052   0x00000DC0     18     32     3     
51     S    0x00000053   0x00000E20     14     32     2     
52     T    0x00000054   0x00000E60     17     32     3     
53     U    0x00000055   0x00000EC0     18     32     3     
54     V    0x00000056   0x00000F20     22     32     3     
55     W    0x00000057   0x00000F80     32     32     4     
56     X    0x00000058   0x00001000     21     32     3     
57     Y    0x00000059   0x00001060     19     32     3     
58     Z    0x0000005A   0x000010C0     18     32     3     
59     [    0x0000005B   0x00001120     7      32     1     
60     \    0x0000005C   0x00001140     13     32     2     
61     ]    0x0000005D   0x00001180     7      32     1     
62     ^    0x0000005E   0x000011A0     16     32     2     
63     _    0x0000005F   0x000011E0     14     32     2     
64     `    0x00000060   0x00001220     7      32     1     
65     a    0x00000061   0x00001240     14     32     2     
66     b    0x00000062   0x00001280     15     32     2     
67     c    0x00000063   0x000012C0     13     32     2     
68     d    0x00000064   0x00001300     15     32     2     
69     e    0x00000065   0x00001340     15     32     2     
70     f    0x00000066   0x00001380     11     32     2     
71     g    0x00000067   0x000013C0     15     32     2     
72     h    0x00000068   0x00001400     15     32     2     
73     i    0x00000069   0x00001440     4      32     1     
74     j    0x0000006A   0x00001460     10     32     2     
75     k    0x0000006B   0x000014A0     14     32     2     
76     l    0x0000006C   0x000014E0     3      32     1     
77     m    0x0000006D   0x00001500     25     32     4     
78     n    0x0000006E   0x00001580     15     32     2     
79     o    0x0000006F   0x000015C0     16     32     2     
80     p    0x00000070   0x00001600     15     32     2     
81     q    0x00000071   0x00001640     15     32     2     
82     r    0x00000072   0x00001680     9      32     2     
83     s    0x00000073   0x000016C0     12     32     2     
84     t    0x00000074   0x00001700     10     32     2     
85     u    0x00000075   0x00001740     15     32     2     
86     v    0x00000076   0x00001780     17     32     3     
87     w    0x00000077   0x000017E0     25     32     4     
88     x    0x00000078   0x00001860     16     32     2     
89     y    0x00000079   0x000018A0     17     32     3     
90     z    0x0000007A   0x00001900     14     32     2     
91     {    0x0000007B   0x00001940     9      32     2     
92     |    0x0000007C   0x00001980     3      32     1     
93     }    0x0000007D   0x000019A0     9      32     2     
94     ~    0x0000007E   0x000019E0     16     32     2     
