32x32 汉字点阵字库索引表 (按 Unicode 排序)
字符数量: 3755
固定尺寸: 32x32
字体: C:/Windows/Fonts/msyh.ttc
加粗半径: 0
反色: False

序号     字符   Unicode      偏移(Hex)      宽度     高度     pitch 
120    企    0x00004F01   0x00003C00     32     32     4     
121    伊    0x00004F0A   0x00003C80     32     32     4     
122    伍    0x00004F0D   0x00003D00     32     32     4     
123    伎    0x00004F0E   0x00003D80     32     32     4     
124    伏    0x00004F0F   0x00003E00     32     32     4     
125    伐    0x00004F10   0x00003E80     32     32     4     
126    休    0x00004F11   0x00003F00     32     32     4     
127    众    0x00004F17   0x00003F80     32     32     4     
128    优    0x00004F18   0x00004000     32     32     4     
129    伙    0x00004F19   0x00004080     32     32     4     
130    会    0x00004F1A   0x00004100     32     32     4     
131    伞    0x00004F1E   0x00004180     32     32     4     
132    伟    0x00004F1F   0x00004200     32     32     4     
133    传    0x00004F20   0x00004280     32     32     4     
134    伤    0x00004F24   0x00004300     32     32     4     
135    伦    0x00004F26   0x00004380     32     32     4     
136    伪    0x00004F2A   0x00004400     32     32     4     
137    伯    0x00004F2F   0x00004480     32     32     4     
138    估    0x00004F30   0x00004500     32     32     4     
139    伴    0x00004F34   0x00004580     32     32     4     
140    伶    0x00004F36   0x00004600     32     32     4     
141    伸    0x00004F38   0x00004680     32     32     4     
142    伺    0x00004F3A   0x00004700     32     32     4     
143    似    0x00004F3C   0x00004780     32     32     4     
144    佃    0x00004F43   0x00004800     32     32     4     
145    但    0x00004F46   0x00004880     32     32     4     
146    位    0x00004F4D   0x00004900     32     32     4     
147    低    0x00004F4E   0x00004980     32     32     4     
148    住    0x00004F4F   0x00004A00     32     32     4     
149    佐    0x00004F50   0x00004A80     32     32     4     
150    佑    0x00004F51   0x00004B00     32     32     4     
151    体    0x00004F53   0x00004B80     32     32     4     
152    何    0x00004F55   0x00004C00     32     32     4     
153    余    0x00004F59   0x00004C80     32     32     4     
154    佛    0x00004F5B   0x00004D00     32     32     4     
155    作    0x00004F5C   0x00004D80     32     32     4     
156    你    0x00004F60   0x00004E00     32     32     4     
157    佣    0x00004F63   0x00004E80     32     32     4     
158    佩    0x00004F69   0x00004F00     32     32     4     
159    佬    0x00004F6C   0x00004F80     32     32     4     
160    佯    0x00004F6F   0x00005000     32     32     4     
161    佰    0x00004F70   0x00005080     32     32     4     
162    佳    0x00004F73   0x00005100     32     32     4     
163    使    0x00004F7F   0x00005180     32     32     4     
164    侄    0x00004F84   0x00005200     32     32     4     
165    侈    0x00004F88   0x00005280     32     32     4     
166    例    0x00004F8B   0x00005300     32     32     4     
167    侍    0x00004F8D   0x00005380     32     32     4     
168    侗    0x00004F97   0x00005400     32     32     4     
169    供    0x00004F9B   0x00005480     32     32     4     
170    依    0x00004F9D   0x00005500     32     32     4     
171    侠    0x00004FA0   0x00005580     32     32     4     
172    侣    0x00004FA3   0x00005600     32     32     4     
173    侥    0x00004FA5   0x00005680     32     32     4     
174    侦    0x00004FA6   0x00005700     32     32     4     
175    侧    0x00004FA7   0x00005780     32     32     4     
176    侨    0x00004FA8   0x00005800     32     32     4     
177    侩    0x00004FA9   0x00005880     32     32     4     
178    侮    0x00004FAE   0x00005900     32     32     4     
179    侯    0x00004FAF   0x00005980     32     32     4     
180    侵    0x00004FB5   0x00005A00     32     32     4     
