# 汉字 绝对偏移(十六进制)  (从文件头开始)
车 0x0001BC7C
扯 0x0001BCFC
撤 0x0001BD7C
掣 0x0001BDFC
彻 0x0001BE7C
澈 0x0001BEFC
郴 0x0001BF7C
臣 0x0001BFFC
辰 0x0001C07C
尘 0x0001C0FC
晨 0x0001C17C
忱 0x0001C1FC
沉 0x0001C27C
陈 0x0001C2FC
趁 0x0001C37C
衬 0x0001C3FC
撑 0x0001C47C
称 0x0001C4FC
城 0x0001C57C
橙 0x0001C5FC
成 0x0001C67C
呈 0x0001C6FC
乘 0x0001C77C
程 0x0001C7FC
惩 0x0001C87C
澄 0x0001C8FC
诚 0x0001C97C
承 0x0001C9FC
逞 0x0001CA7C
骋 0x0001CAFC
秤 0x0001CB7C
吃 0x0001CBFC
痴 0x0001CC7C
持 0x0001CCFC
匙 0x0001CD7C
池 0x0001CDFC
迟 0x0001CE7C
弛 0x0001CEFC
驰 0x0001CF7C
耻 0x0001CFFC
齿 0x0001D07C
侈 0x0001D0FC
尺 0x0001D17C
赤 0x0001D1FC
翅 0x0001D27C
斥 0x0001D2FC
炽 0x0001D37C
充 0x0001D3FC
冲 0x0001D47C
虫 0x0001D4FC
崇 0x0001D57C
宠 0x0001D5FC
抽 0x0001D67C
酬 0x0001D6FC
畴 0x0001D77C
踌 0x0001D7FC
稠 0x0001D87C
愁 0x0001D8FC
筹 0x0001D97C
仇 0x0001D9FC
绸 0x0001DA7C
瞅 0x0001DAFC
丑 0x0001DB7C
臭 0x0001DBFC
初 0x0001DC7C
出 0x0001DCFC
橱 0x0001DD7C
厨 0x0001DDFC
躇 0x0001DE7C
锄 0x0001DEFC
雏 0x0001DF7C
滁 0x0001DFFC
除 0x0001E07C
楚 0x0001E0FC
础 0x0001E17C
储 0x0001E1FC
矗 0x0001E27C
搐 0x0001E2FC
触 0x0001E37C
处 0x0001E3FC
揣 0x0001E47C
川 0x0001E4FC
穿 0x0001E57C
椽 0x0001E5FC
传 0x0001E67C
船 0x0001E6FC
喘 0x0001E77C
串 0x0001E7FC
疮 0x0001E87C
窗 0x0001E8FC
幢 0x0001E97C
床 0x0001E9FC
闯 0x0001EA7C
创 0x0001EAFC
吹 0x0001EB7C
炊 0x0001EBFC
捶 0x0001EC7C
锤 0x0001ECFC
垂 0x0001ED7C
春 0x0001EDFC
椿 0x0001EE7C
醇 0x0001EEFC
唇 0x0001EF7C
淳 0x0001EFFC
纯 0x0001F07C
蠢 0x0001F0FC
戳 0x0001F17C
绰 0x0001F1FC
疵 0x0001F27C
茨 0x0001F2FC
磁 0x0001F37C
雌 0x0001F3FC
辞 0x0001F47C
慈 0x0001F4FC
瓷 0x0001F57C
词 0x0001F5FC
此 0x0001F67C
刺 0x0001F6FC
赐 0x0001F77C
次 0x0001F7FC
聪 0x0001F87C
葱 0x0001F8FC
囱 0x0001F97C
匆 0x0001F9FC
从 0x0001FA7C
丛 0x0001FAFC
凑 0x0001FB7C
粗 0x0001FBFC
醋 0x0001FC7C
簇 0x0001FCFC
促 0x0001FD7C
蹿 0x0001FDFC
篡 0x0001FE7C
窜 0x0001FEFC
摧 0x0001FF7C
崔 0x0001FFFC
催 0x0002007C
脆 0x000200FC
瘁 0x0002017C
粹 0x000201FC
淬 0x0002027C
翠 0x000202FC
村 0x0002037C
存 0x000203FC
寸 0x0002047C
磋 0x000204FC
撮 0x0002057C
搓 0x000205FC
措 0x0002067C
挫 0x000206FC
错 0x0002077C
搭 0x000207FC
达 0x0002087C
答 0x000208FC
瘩 0x0002097C
打 0x000209FC
大 0x00020A7C
呆 0x00020AFC
歹 0x00020B7C
傣 0x00020BFC
戴 0x00020C7C
带 0x00020CFC
殆 0x00020D7C
代 0x00020DFC
贷 0x00020E7C
袋 0x00020EFC
待 0x00020F7C
逮 0x00020FFC
怠 0x0002107C
耽 0x000210FC
担 0x0002117C
丹 0x000211FC
单 0x0002127C
郸 0x000212FC
掸 0x0002137C
胆 0x000213FC
旦 0x0002147C
氮 0x000214FC
但 0x0002157C
惮 0x000215FC
淡 0x0002167C
诞 0x000216FC
弹 0x0002177C
蛋 0x000217FC
当 0x0002187C
挡 0x000218FC
党 0x0002197C
荡 0x000219FC
档 0x00021A7C
刀 0x00021AFC
捣 0x00021B7C
蹈 0x00021BFC
倒 0x00021C7C
岛 0x00021CFC
祷 0x00021D7C
导 0x00021DFC
到 0x00021E7C
稻 0x00021EFC
悼 0x00021F7C
道 0x00021FFC
盗 0x0002207C
德 0x000220FC
得 0x0002217C
的 0x000221FC
蹬 0x0002227C
灯 0x000222FC
登 0x0002237C
等 0x000223FC
瞪 0x0002247C
凳 0x000224FC
邓 0x0002257C
堤 0x000225FC
低 0x0002267C
滴 0x000226FC
