16x16 汉字点阵字库索引表 (按 Unicode 排序)
字符数量: 3755
固定尺寸: 16x16
字体: C:/Windows/Fonts/msyh.ttc

序号     字符   Unicode      偏移(Hex)      宽度     高度     pitch 
119    仿    0x00004EFF   0x00000EE0     16     16     2     
120    企    0x00004F01   0x00000F00     16     16     2     
121    伊    0x00004F0A   0x00000F20     16     16     2     
122    伍    0x00004F0D   0x00000F40     16     16     2     
123    伎    0x00004F0E   0x00000F60     16     16     2     
124    伏    0x00004F0F   0x00000F80     16     16     2     
125    伐    0x00004F10   0x00000FA0     16     16     2     
126    休    0x00004F11   0x00000FC0     16     16     2     
127    众    0x00004F17   0x00000FE0     16     16     2     
128    优    0x00004F18   0x00001000     16     16     2     
129    伙    0x00004F19   0x00001020     16     16     2     
130    会    0x00004F1A   0x00001040     16     16     2     
131    伞    0x00004F1E   0x00001060     16     16     2     
132    伟    0x00004F1F   0x00001080     16     16     2     
133    传    0x00004F20   0x000010A0     16     16     2     
134    伤    0x00004F24   0x000010C0     16     16     2     
135    伦    0x00004F26   0x000010E0     16     16     2     
136    伪    0x00004F2A   0x00001100     16     16     2     
137    伯    0x00004F2F   0x00001120     16     16     2     
138    估    0x00004F30   0x00001140     16     16     2     
139    伴    0x00004F34   0x00001160     16     16     2     
140    伶    0x00004F36   0x00001180     16     16     2     
141    伸    0x00004F38   0x000011A0     16     16     2     
142    伺    0x00004F3A   0x000011C0     16     16     2     
143    似    0x00004F3C   0x000011E0     16     16     2     
144    佃    0x00004F43   0x00001200     16     16     2     
145    但    0x00004F46   0x00001220     16     16     2     
146    位    0x00004F4D   0x00001240     16     16     2     
147    低    0x00004F4E   0x00001260     16     16     2     
148    住    0x00004F4F   0x00001280     16     16     2     
149    佐    0x00004F50   0x000012A0     16     16     2     
150    佑    0x00004F51   0x000012C0     16     16     2     
151    体    0x00004F53   0x000012E0     16     16     2     
152    何    0x00004F55   0x00001300     16     16     2     
153    余    0x00004F59   0x00001320     16     16     2     
154    佛    0x00004F5B   0x00001340     16     16     2     
155    作    0x00004F5C   0x00001360     16     16     2     
156    你    0x00004F60   0x00001380     16     16     2     
157    佣    0x00004F63   0x000013A0     16     16     2     
158    佩    0x00004F69   0x000013C0     16     16     2     
159    佬    0x00004F6C   0x000013E0     16     16     2     
160    佯    0x00004F6F   0x00001400     16     16     2     
161    佰    0x00004F70   0x00001420     16     16     2     
162    佳    0x00004F73   0x00001440     16     16     2     
163    使    0x00004F7F   0x00001460     16     16     2     
164    侄    0x00004F84   0x00001480     16     16     2     
165    侈    0x00004F88   0x000014A0     16     16     2     
166    例    0x00004F8B   0x000014C0     16     16     2     
167    侍    0x00004F8D   0x000014E0     16     16     2     
168    侗    0x00004F97   0x00001500     16     16     2     
169    供    0x00004F9B   0x00001520     16     16     2     
170    依    0x00004F9D   0x00001540     16     16     2     
171    侠    0x00004FA0   0x00001560     16     16     2     
172    侣    0x00004FA3   0x00001580     16     16     2     
173    侥    0x00004FA5   0x000015A0     16     16     2     
174    侦    0x00004FA6   0x000015C0     16     16     2     
175    侧    0x00004FA7   0x000015E0     16     16     2     
176    侨    0x00004FA8   0x00001600     16     16     2     
177    侩    0x00004FA9   0x00001620     16     16     2     
178    侮    0x00004FAE   0x00001640     16     16     2     
179    侯    0x00004FAF   0x00001660     16     16     2     
180    侵    0x00004FB5   0x00001680     16     16     2     
181    便    0x00004FBF   0x000016A0     16     16     2     
182    促    0x00004FC3   0x000016C0     16     16     2     
183    俄    0x00004FC4   0x000016E0     16     16     2     
184    俊    0x00004FCA   0x00001700     16     16     2     
185    俏    0x00004FCF   0x00001720     16     16     2     
186    俐    0x00004FD0   0x00001740     16     16     2     
187    俗    0x00004FD7   0x00001760     16     16     2     
188    俘    0x00004FD8   0x00001780     16     16     2     
189    保    0x00004FDD   0x000017A0     16     16     2     
190    俞    0x00004FDE   0x000017C0     16     16     2     
191    信    0x00004FE1   0x000017E0     16     16     2     
192    俩    0x00004FE9   0x00001800     16     16     2     
193    俭    0x00004FED   0x00001820     16     16     2     
194    修    0x00004FEE   0x00001840     16     16     2     
195    俯    0x00004FEF   0x00001860     16     16     2     
196    俱    0x00004FF1   0x00001880     16     16     2     
197    俺    0x00004FFA   0x000018A0     16     16     2     
198    倍    0x0000500D   0x000018C0     16     16     2     
199    倒    0x00005012   0x000018E0     16     16     2     
200    倔    0x00005014   0x00001900     16     16     2     
201    倘    0x00005018   0x00001920     16     16     2     
202    候    0x00005019   0x00001940     16     16     2     
203    倚    0x0000501A   0x00001960     16     16     2     
204    借    0x0000501F   0x00001980     16     16     2     
205    倡    0x00005021   0x000019A0     16     16     2     
206    倦    0x00005026   0x000019C0     16     16     2     
207    倪    0x0000502A   0x000019E0     16     16     2     
208    债    0x0000503A   0x00001A00     16     16     2     
209    值    0x0000503C   0x00001A20     16     16     2     
210    倾    0x0000503E   0x00001A40     16     16     2     
211    假    0x00005047   0x00001A60     16     16     2     
212    偏    0x0000504F   0x00001A80     16     16     2     
213    做    0x0000505A   0x00001AA0     16     16     2     
214    停    0x0000505C   0x00001AC0     16     16     2     
215    健    0x00005065   0x00001AE0     16     16     2     
216    偶    0x00005076   0x00001B00     16     16     2     
217    偷    0x00005077   0x00001B20     16     16     2     
218    偿    0x0000507F   0x00001B40     16     16     2     
219    傀    0x00005080   0x00001B60     16     16     2     
220    傅    0x00005085   0x00001B80     16     16     2     
221    傈    0x00005088   0x00001BA0     16     16     2     
222    傍    0x0000508D   0x00001BC0     16     16     2     
223    傣    0x000050A3   0x00001BE0     16     16     2     
224    储    0x000050A8   0x00001C00     16     16     2     
225    催    0x000050AC   0x00001C20     16     16     2     
226    傲    0x000050B2   0x00001C40     16     16     2     
227    傻    0x000050BB   0x00001C60     16     16     2     
228    像    0x000050CF   0x00001C80     16     16     2     
229    僚    0x000050DA   0x00001CA0     16     16     2     
230    僧    0x000050E7   0x00001CC0     16     16     2     
231    僳    0x000050F3   0x00001CE0     16     16     2     
232    僵    0x000050F5   0x00001D00     16     16     2     
233    僻    0x000050FB   0x00001D20     16     16     2     
234    儒    0x00005112   0x00001D40     16     16     2     
235    儡    0x00005121   0x00001D60     16     16     2     
236    儿    0x0000513F   0x00001D80     16     16     2     
237    允    0x00005141   0x00001DA0     16     16     2     
238    元    0x00005143   0x00001DC0     16     16     2     
239    兄    0x00005144   0x00001DE0     16     16     2     
240    充    0x00005145   0x00001E00     16     16     2     
241    兆    0x00005146   0x00001E20     16     16     2     
242    先    0x00005148   0x00001E40     16     16     2     
243    光    0x00005149   0x00001E60     16     16     2     
244    克    0x0000514B   0x00001E80     16     16     2     
245    免    0x0000514D   0x00001EA0     16     16     2     
246    兑    0x00005151   0x00001EC0     16     16     2     
247    兔    0x00005154   0x00001EE0     16     16     2     
248    党    0x0000515A   0x00001F00     16     16     2     
249    兜    0x0000515C   0x00001F20     16     16     2     
250    兢    0x00005162   0x00001F40     16     16     2     
251    入    0x00005165   0x00001F60     16     16     2     
252    全    0x00005168   0x00001F80     16     16     2     
253    八    0x0000516B   0x00001FA0     16     16     2     
254    公    0x0000516C   0x00001FC0     16     16     2     
255    六    0x0000516D   0x00001FE0     16     16     2     
256    兰    0x00005170   0x00002000     16     16     2     
257    共    0x00005171   0x00002020     16     16     2     
258    关    0x00005173   0x00002040     16     16     2     
259    兴    0x00005174   0x00002060     16     16     2     
260    兵    0x00005175   0x00002080     16     16     2     
261    其    0x00005176   0x000020A0     16     16     2     
262    具    0x00005177   0x000020C0     16     16     2     
263    典    0x00005178   0x000020E0     16     16     2     
264    兹    0x00005179   0x00002100     16     16     2     
265    养    0x0000517B   0x00002120     16     16     2     
266    兼    0x0000517C   0x00002140     16     16     2     
267    兽    0x0000517D   0x00002160     16     16     2     
268    冀    0x00005180   0x00002180     16     16     2     
269    内    0x00005185   0x000021A0     16     16     2     
270    冈    0x00005188   0x000021C0     16     16     2     
271    冉    0x00005189   0x000021E0     16     16     2     
272    册    0x0000518C   0x00002200     16     16     2     
273    再    0x0000518D   0x00002220     16     16     2     
274    冒    0x00005192   0x00002240     16     16     2     
275    冕    0x00005195   0x00002260     16     16     2     
276    冗    0x00005197   0x00002280     16     16     2     
277    写    0x00005199   0x000022A0     16     16     2     
278    军    0x0000519B   0x000022C0     16     16     2     
279    农    0x0000519C   0x000022E0     16     16     2     
280    冠    0x000051A0   0x00002300     16     16     2     
281    冤    0x000051A4   0x00002320     16     16     2     
282    冬    0x000051AC   0x00002340     16     16     2     
283    冯    0x000051AF   0x00002360     16     16     2     
284    冰    0x000051B0   0x00002380     16     16     2     
285    冲    0x000051B2   0x000023A0     16     16     2     
286    决    0x000051B3   0x000023C0     16     16     2     
287    况    0x000051B5   0x000023E0     16     16     2     
288    冶    0x000051B6   0x00002400     16     16     2     
289    冷    0x000051B7   0x00002420     16     16     2     
290    冻    0x000051BB   0x00002440     16     16     2     
291    净    0x000051C0   0x00002460     16     16     2     
292    凄    0x000051C4   0x00002480     16     16     2     
293    准    0x000051C6   0x000024A0     16     16     2     
294    凉    0x000051C9   0x000024C0     16     16     2     
295    凋    0x000051CB   0x000024E0     16     16     2     
296    凌    0x000051CC   0x00002500     16     16     2     
297    减    0x000051CF   0x00002520     16     16     2     
298    凑    0x000051D1   0x00002540     16     16     2     
299    凛    0x000051DB   0x00002560     16     16     2     
