# 汉字 绝对偏移(十六进制)  (从文件头开始)
辰 0x00014C3C
尘 0x00014C5C
晨 0x00014C7C
忱 0x00014C9C
沉 0x00014CBC
陈 0x00014CDC
趁 0x00014CFC
衬 0x00014D1C
撑 0x00014D3C
称 0x00014D5C
城 0x00014D7C
橙 0x00014D9C
成 0x00014DBC
呈 0x00014DDC
乘 0x00014DFC
程 0x00014E1C
惩 0x00014E3C
澄 0x00014E5C
诚 0x00014E7C
承 0x00014E9C
逞 0x00014EBC
骋 0x00014EDC
秤 0x00014EFC
吃 0x00014F1C
痴 0x00014F3C
持 0x00014F5C
匙 0x00014F7C
池 0x00014F9C
迟 0x00014FBC
弛 0x00014FDC
驰 0x00014FFC
耻 0x0001501C
齿 0x0001503C
侈 0x0001505C
尺 0x0001507C
赤 0x0001509C
翅 0x000150BC
斥 0x000150DC
炽 0x000150FC
充 0x0001511C
冲 0x0001513C
虫 0x0001515C
崇 0x0001517C
宠 0x0001519C
抽 0x000151BC
酬 0x000151DC
畴 0x000151FC
踌 0x0001521C
稠 0x0001523C
愁 0x0001525C
筹 0x0001527C
仇 0x0001529C
绸 0x000152BC
瞅 0x000152DC
丑 0x000152FC
臭 0x0001531C
初 0x0001533C
出 0x0001535C
橱 0x0001537C
厨 0x0001539C
躇 0x000153BC
锄 0x000153DC
雏 0x000153FC
滁 0x0001541C
除 0x0001543C
楚 0x0001545C
础 0x0001547C
储 0x0001549C
矗 0x000154BC
搐 0x000154DC
触 0x000154FC
处 0x0001551C
揣 0x0001553C
川 0x0001555C
穿 0x0001557C
椽 0x0001559C
传 0x000155BC
船 0x000155DC
喘 0x000155FC
串 0x0001561C
疮 0x0001563C
窗 0x0001565C
幢 0x0001567C
床 0x0001569C
闯 0x000156BC
创 0x000156DC
吹 0x000156FC
炊 0x0001571C
捶 0x0001573C
锤 0x0001575C
垂 0x0001577C
春 0x0001579C
椿 0x000157BC
醇 0x000157DC
唇 0x000157FC
淳 0x0001581C
纯 0x0001583C
蠢 0x0001585C
戳 0x0001587C
绰 0x0001589C
疵 0x000158BC
茨 0x000158DC
磁 0x000158FC
雌 0x0001591C
辞 0x0001593C
慈 0x0001595C
瓷 0x0001597C
词 0x0001599C
此 0x000159BC
刺 0x000159DC
赐 0x000159FC
次 0x00015A1C
聪 0x00015A3C
葱 0x00015A5C
囱 0x00015A7C
匆 0x00015A9C
从 0x00015ABC
丛 0x00015ADC
凑 0x00015AFC
粗 0x00015B1C
醋 0x00015B3C
簇 0x00015B5C
促 0x00015B7C
蹿 0x00015B9C
篡 0x00015BBC
窜 0x00015BDC
摧 0x00015BFC
崔 0x00015C1C
催 0x00015C3C
脆 0x00015C5C
瘁 0x00015C7C
粹 0x00015C9C
淬 0x00015CBC
翠 0x00015CDC
村 0x00015CFC
存 0x00015D1C
寸 0x00015D3C
磋 0x00015D5C
撮 0x00015D7C
搓 0x00015D9C
措 0x00015DBC
挫 0x00015DDC
错 0x00015DFC
搭 0x00015E1C
达 0x00015E3C
答 0x00015E5C
瘩 0x00015E7C
打 0x00015E9C
大 0x00015EBC
呆 0x00015EDC
歹 0x00015EFC
傣 0x00015F1C
戴 0x00015F3C
带 0x00015F5C
殆 0x00015F7C
代 0x00015F9C
贷 0x00015FBC
袋 0x00015FDC
待 0x00015FFC
逮 0x0001601C
怠 0x0001603C
耽 0x0001605C
担 0x0001607C
丹 0x0001609C
单 0x000160BC
郸 0x000160DC
掸 0x000160FC
胆 0x0001611C
旦 0x0001613C
氮 0x0001615C
但 0x0001617C
惮 0x0001619C
淡 0x000161BC
诞 0x000161DC
弹 0x000161FC
蛋 0x0001621C
当 0x0001623C
挡 0x0001625C
党 0x0001627C
荡 0x0001629C
档 0x000162BC
刀 0x000162DC
捣 0x000162FC
蹈 0x0001631C
倒 0x0001633C
岛 0x0001635C
祷 0x0001637C
导 0x0001639C
到 0x000163BC
稻 0x000163DC
悼 0x000163FC
道 0x0001641C
盗 0x0001643C
德 0x0001645C
得 0x0001647C
的 0x0001649C
蹬 0x000164BC
灯 0x000164DC
登 0x000164FC
等 0x0001651C
瞪 0x0001653C
凳 0x0001655C
邓 0x0001657C
堤 0x0001659C
低 0x000165BC
滴 0x000165DC
迪 0x000165FC
敌 0x0001661C
笛 0x0001663C
狄 0x0001665C
涤 0x0001667C
翟 0x0001669C
嫡 0x000166BC
抵 0x000166DC
底 0x000166FC
地 0x0001671C
蒂 0x0001673C
第 0x0001675C
帝 0x0001677C
弟 0x0001679C
递 0x000167BC
缔 0x000167DC
颠 0x000167FC
掂 0x0001681C
滇 0x0001683C
碘 0x0001685C
点 0x0001687C
典 0x0001689C
靛 0x000168BC
垫 0x000168DC
电 0x000168FC
佃 0x0001691C
甸 0x0001693C
店 0x0001695C
惦 0x0001697C
奠 0x0001699C
淀 0x000169BC
殿 0x000169DC
碉 0x000169FC
叼 0x00016A1C
雕 0x00016A3C
凋 0x00016A5C
刁 0x00016A7C
掉 0x00016A9C
吊 0x00016ABC
钓 0x00016ADC
调 0x00016AFC
跌 0x00016B1C
爹 0x00016B3C
碟 0x00016B5C
蝶 0x00016B7C
迭 0x00016B9C
谍 0x00016BBC
叠 0x00016BDC
丁 0x00016BFC
盯 0x00016C1C
叮 0x00016C3C
钉 0x00016C5C
顶 0x00016C7C
