# 汉字 绝对偏移(十六进制)  (从文件头开始)
荆 0x0001CA3C
兢 0x0001CA5C
茎 0x0001CA7C
睛 0x0001CA9C
晶 0x0001CABC
鲸 0x0001CADC
京 0x0001CAFC
惊 0x0001CB1C
精 0x0001CB3C
粳 0x0001CB5C
经 0x0001CB7C
井 0x0001CB9C
警 0x0001CBBC
景 0x0001CBDC
颈 0x0001CBFC
静 0x0001CC1C
境 0x0001CC3C
敬 0x0001CC5C
镜 0x0001CC7C
径 0x0001CC9C
痉 0x0001CCBC
靖 0x0001CCDC
竟 0x0001CCFC
竞 0x0001CD1C
净 0x0001CD3C
炯 0x0001CD5C
窘 0x0001CD7C
揪 0x0001CD9C
究 0x0001CDBC
纠 0x0001CDDC
玖 0x0001CDFC
韭 0x0001CE1C
久 0x0001CE3C
灸 0x0001CE5C
九 0x0001CE7C
酒 0x0001CE9C
厩 0x0001CEBC
救 0x0001CEDC
旧 0x0001CEFC
臼 0x0001CF1C
舅 0x0001CF3C
咎 0x0001CF5C
就 0x0001CF7C
疚 0x0001CF9C
鞠 0x0001CFBC
拘 0x0001CFDC
狙 0x0001CFFC
疽 0x0001D01C
居 0x0001D03C
驹 0x0001D05C
菊 0x0001D07C
局 0x0001D09C
咀 0x0001D0BC
矩 0x0001D0DC
举 0x0001D0FC
沮 0x0001D11C
聚 0x0001D13C
拒 0x0001D15C
据 0x0001D17C
巨 0x0001D19C
具 0x0001D1BC
距 0x0001D1DC
踞 0x0001D1FC
锯 0x0001D21C
俱 0x0001D23C
句 0x0001D25C
惧 0x0001D27C
炬 0x0001D29C
剧 0x0001D2BC
捐 0x0001D2DC
鹃 0x0001D2FC
娟 0x0001D31C
倦 0x0001D33C
眷 0x0001D35C
卷 0x0001D37C
绢 0x0001D39C
撅 0x0001D3BC
攫 0x0001D3DC
抉 0x0001D3FC
掘 0x0001D41C
倔 0x0001D43C
爵 0x0001D45C
觉 0x0001D47C
决 0x0001D49C
诀 0x0001D4BC
绝 0x0001D4DC
均 0x0001D4FC
菌 0x0001D51C
钧 0x0001D53C
军 0x0001D55C
君 0x0001D57C
峻 0x0001D59C
俊 0x0001D5BC
竣 0x0001D5DC
浚 0x0001D5FC
郡 0x0001D61C
骏 0x0001D63C
喀 0x0001D65C
咖 0x0001D67C
卡 0x0001D69C
咯 0x0001D6BC
开 0x0001D6DC
揩 0x0001D6FC
楷 0x0001D71C
凯 0x0001D73C
慨 0x0001D75C
刊 0x0001D77C
堪 0x0001D79C
勘 0x0001D7BC
坎 0x0001D7DC
砍 0x0001D7FC
看 0x0001D81C
康 0x0001D83C
慷 0x0001D85C
糠 0x0001D87C
扛 0x0001D89C
抗 0x0001D8BC
亢 0x0001D8DC
炕 0x0001D8FC
考 0x0001D91C
拷 0x0001D93C
烤 0x0001D95C
靠 0x0001D97C
坷 0x0001D99C
苛 0x0001D9BC
柯 0x0001D9DC
棵 0x0001D9FC
磕 0x0001DA1C
颗 0x0001DA3C
科 0x0001DA5C
壳 0x0001DA7C
咳 0x0001DA9C
可 0x0001DABC
渴 0x0001DADC
克 0x0001DAFC
刻 0x0001DB1C
客 0x0001DB3C
课 0x0001DB5C
肯 0x0001DB7C
啃 0x0001DB9C
垦 0x0001DBBC
恳 0x0001DBDC
坑 0x0001DBFC
吭 0x0001DC1C
空 0x0001DC3C
恐 0x0001DC5C
孔 0x0001DC7C
控 0x0001DC9C
抠 0x0001DCBC
口 0x0001DCDC
扣 0x0001DCFC
寇 0x0001DD1C
枯 0x0001DD3C
哭 0x0001DD5C
窟 0x0001DD7C
苦 0x0001DD9C
酷 0x0001DDBC
库 0x0001DDDC
裤 0x0001DDFC
夸 0x0001DE1C
垮 0x0001DE3C
挎 0x0001DE5C
跨 0x0001DE7C
胯 0x0001DE9C
块 0x0001DEBC
筷 0x0001DEDC
侩 0x0001DEFC
快 0x0001DF1C
宽 0x0001DF3C
款 0x0001DF5C
匡 0x0001DF7C
筐 0x0001DF9C
狂 0x0001DFBC
框 0x0001DFDC
矿 0x0001DFFC
眶 0x0001E01C
旷 0x0001E03C
况 0x0001E05C
亏 0x0001E07C
盔 0x0001E09C
岿 0x0001E0BC
窥 0x0001E0DC
葵 0x0001E0FC
奎 0x0001E11C
魁 0x0001E13C
傀 0x0001E15C
馈 0x0001E17C
愧 0x0001E19C
溃 0x0001E1BC
坤 0x0001E1DC
昆 0x0001E1FC
捆 0x0001E21C
困 0x0001E23C
括 0x0001E25C
扩 0x0001E27C
廓 0x0001E29C
阔 0x0001E2BC
垃 0x0001E2DC
拉 0x0001E2FC
喇 0x0001E31C
蜡 0x0001E33C
腊 0x0001E35C
辣 0x0001E37C
啦 0x0001E39C
莱 0x0001E3BC
来 0x0001E3DC
赖 0x0001E3FC
蓝 0x0001E41C
婪 0x0001E43C
栏 0x0001E45C
拦 0x0001E47C
篮 0x0001E49C
阑 0x0001E4BC
兰 0x0001E4DC
澜 0x0001E4FC
谰 0x0001E51C
揽 0x0001E53C
览 0x0001E55C
懒 0x0001E57C
缆 0x0001E59C
烂 0x0001E5BC
滥 0x0001E5DC
琅 0x0001E5FC
榔 0x0001E61C
狼 0x0001E63C
廊 0x0001E65C
郎 0x0001E67C
朗 0x0001E69C
浪 0x0001E6BC
捞 0x0001E6DC
劳 0x0001E6FC
牢 0x0001E71C
老 0x0001E73C
佬 0x0001E75C
姥 0x0001E77C
酪 0x0001E79C
烙 0x0001E7BC
涝 0x0001E7DC
勒 0x0001E7FC
乐 0x0001E81C
雷 0x0001E83C
镭 0x0001E85C
蕾 0x0001E87C
磊 0x0001E89C
累 0x0001E8BC
儡 0x0001E8DC
垒 0x0001E8FC
擂 0x0001E91C
肋 0x0001E93C
类 0x0001E95C
泪 0x0001E97C
棱 0x0001E99C
楞 0x0001E9BC
冷 0x0001E9DC
厘 0x0001E9FC
梨 0x0001EA1C
犁 0x0001EA3C
黎 0x0001EA5C
篱 0x0001EA7C
狸 0x0001EA9C
离 0x0001EABC
漓 0x0001EADC
理 0x0001EAFC
李 0x0001EB1C
里 0x0001EB3C
鲤 0x0001EB5C
礼 0x0001EB7C
莉 0x0001EB9C
荔 0x0001EBBC
吏 0x0001EBDC
栗 0x0001EBFC
丽 0x0001EC1C
厉 0x0001EC3C
励 0x0001EC5C
砾 0x0001EC7C
历 0x0001EC9C
利 0x0001ECBC
傈 0x0001ECDC
例 0x0001ECFC
俐 0x0001ED1C
痢 0x0001ED3C
立 0x0001ED5C
粒 0x0001ED7C
沥 0x0001ED9C
隶 0x0001EDBC
力 0x0001EDDC
璃 0x0001EDFC
哩 0x0001EE1C
俩 0x0001EE3C
联 0x0001EE5C
莲 0x0001EE7C
连 0x0001EE9C
镰 0x0001EEBC
廉 0x0001EEDC
怜 0x0001EEFC
涟 0x0001EF1C
帘 0x0001EF3C
敛 0x0001EF5C
脸 0x0001EF7C
链 0x0001EF9C
恋 0x0001EFBC
炼 0x0001EFDC
练 0x0001EFFC
粮 0x0001F01C
凉 0x0001F03C
梁 0x0001F05C
粱 0x0001F07C
良 0x0001F09C
两 0x0001F0BC
辆 0x0001F0DC
量 0x0001F0FC
晾 0x0001F11C
亮 0x0001F13C
谅 0x0001F15C
撩 0x0001F17C
聊 0x0001F19C
僚 0x0001F1BC
疗 0x0001F1DC
燎 0x0001F1FC
寥 0x0001F21C
辽 0x0001F23C
潦 0x0001F25C
了 0x0001F27C
撂 0x0001F29C
镣 0x0001F2BC
廖 0x0001F2DC
料 0x0001F2FC
列 0x0001F31C
裂 0x0001F33C
烈 0x0001F35C
劣 0x0001F37C
猎 0x0001F39C
琳 0x0001F3BC
林 0x0001F3DC
磷 0x0001F3FC
霖 0x0001F41C
临 0x0001F43C
邻 0x0001F45C
鳞 0x0001F47C
淋 0x0001F49C
凛 0x0001F4BC
赁 0x0001F4DC
吝 0x0001F4FC
拎 0x0001F51C
玲 0x0001F53C
菱 0x0001F55C
零 0x0001F57C
龄 0x0001F59C
铃 0x0001F5BC
伶 0x0001F5DC
羚 0x0001F5FC
凌 0x0001F61C
灵 0x0001F63C
陵 0x0001F65C
岭 0x0001F67C
领 0x0001F69C
另 0x0001F6BC
令 0x0001F6DC
溜 0x0001F6FC
琉 0x0001F71C
榴 0x0001F73C
硫 0x0001F75C
馏 0x0001F77C
留 0x0001F79C
刘 0x0001F7BC
瘤 0x0001F7DC
流 0x0001F7FC
柳 0x0001F81C
六 0x0001F83C
龙 0x0001F85C
聋 0x0001F87C
咙 0x0001F89C
笼 0x0001F8BC
窿 0x0001F8DC
隆 0x0001F8FC
垄 0x0001F91C
拢 0x0001F93C
陇 0x0001F95C
楼 0x0001F97C
娄 0x0001F99C
搂 0x0001F9BC
篓 0x0001F9DC
漏 0x0001F9FC
陋 0x0001FA1C
芦 0x0001FA3C
卢 0x0001FA5C
颅 0x0001FA7C
庐 0x0001FA9C
炉 0x0001FABC
掳 0x0001FADC
卤 0x0001FAFC
虏 0x0001FB1C
鲁 0x0001FB3C
麓 0x0001FB5C
碌 0x0001FB7C
露 0x0001FB9C
路 0x0001FBBC
赂 0x0001FBDC
鹿 0x0001FBFC
潞 0x0001FC1C
禄 0x0001FC3C
录 0x0001FC5C
陆 0x0001FC7C
戮 0x0001FC9C
驴 0x0001FCBC
吕 0x0001FCDC
铝 0x0001FCFC
侣 0x0001FD1C
旅 0x0001FD3C
履 0x0001FD5C
屡 0x0001FD7C
缕 0x0001FD9C
虑 0x0001FDBC
氯 0x0001FDDC
律 0x0001FDFC
率 0x0001FE1C
滤 0x0001FE3C
绿 0x0001FE5C
峦 0x0001FE7C
挛 0x0001FE9C
孪 0x0001FEBC
滦 0x0001FEDC
卵 0x0001FEFC
乱 0x0001FF1C
掠 0x0001FF3C
略 0x0001FF5C
抡 0x0001FF7C
轮 0x0001FF9C
伦 0x0001FFBC
仑 0x0001FFDC
沦 0x0001FFFC
纶 0x0002001C
论 0x0002003C
萝 0x0002005C
螺 0x0002007C
罗 0x0002009C
逻 0x000200BC
锣 0x000200DC
箩 0x000200FC
骡 0x0002011C
裸 0x0002013C
落 0x0002015C
洛 0x0002017C
骆 0x0002019C
络 0x000201BC
妈 0x000201DC
麻 0x000201FC
玛 0x0002021C
码 0x0002023C
蚂 0x0002025C
马 0x0002027C
骂 0x0002029C
嘛 0x000202BC
吗 0x000202DC
埋 0x000202FC
买 0x0002031C
麦 0x0002033C
卖 0x0002035C
迈 0x0002037C
脉 0x0002039C
瞒 0x000203BC
馒 0x000203DC
蛮 0x000203FC
满 0x0002041C
蔓 0x0002043C
曼 0x0002045C
慢 0x0002047C
漫 0x0002049C
谩 0x000204BC
芒 0x000204DC
茫 0x000204FC
盲 0x0002051C
氓 0x0002053C
忙 0x0002055C
莽 0x0002057C
猫 0x0002059C
茅 0x000205BC
锚 0x000205DC
毛 0x000205FC
矛 0x0002061C
铆 0x0002063C
卯 0x0002065C
茂 0x0002067C
冒 0x0002069C
帽 0x000206BC
貌 0x000206DC
贸 0x000206FC
么 0x0002071C
玫 0x0002073C
枚 0x0002075C
梅 0x0002077C
酶 0x0002079C
霉 0x000207BC
煤 0x000207DC
没 0x000207FC
眉 0x0002081C
媒 0x0002083C
镁 0x0002085C
每 0x0002087C
美 0x0002089C
昧 0x000208BC
寐 0x000208DC
妹 0x000208FC
媚 0x0002091C
门 0x0002093C
闷 0x0002095C
们 0x0002097C
萌 0x0002099C
蒙 0x000209BC
檬 0x000209DC
盟 0x000209FC
锰 0x00020A1C
猛 0x00020A3C
梦 0x00020A5C
孟 0x00020A7C
眯 0x00020A9C
醚 0x00020ABC
靡 0x00020ADC
糜 0x00020AFC
迷 0x00020B1C
谜 0x00020B3C
弥 0x00020B5C
米 0x00020B7C
秘 0x00020B9C
觅 0x00020BBC
泌 0x00020BDC
蜜 0x00020BFC
密 0x00020C1C
幂 0x00020C3C
棉 0x00020C5C
眠 0x00020C7C
绵 0x00020C9C
冕 0x00020CBC
免 0x00020CDC
勉 0x00020CFC
娩 0x00020D1C
缅 0x00020D3C
面 0x00020D5C
苗 0x00020D7C
描 0x00020D9C
瞄 0x00020DBC
藐 0x00020DDC
秒 0x00020DFC
渺 0x00020E1C
庙 0x00020E3C
妙 0x00020E5C
蔑 0x00020E7C
灭 0x00020E9C
民 0x00020EBC
抿 0x00020EDC
皿 0x00020EFC
敏 0x00020F1C
悯 0x00020F3C
闽 0x00020F5C
明 0x00020F7C
螟 0x00020F9C
鸣 0x00020FBC
铭 0x00020FDC
名 0x00020FFC
命 0x0002101C
谬 0x0002103C
摸 0x0002105C
摹 0x0002107C
蘑 0x0002109C
模 0x000210BC
膜 0x000210DC
磨 0x000210FC
摩 0x0002111C
魔 0x0002113C
抹 0x0002115C
末 0x0002117C
莫 0x0002119C
墨 0x000211BC
默 0x000211DC
沫 0x000211FC
漠 0x0002121C
寞 0x0002123C
陌 0x0002125C
谋 0x0002127C
牟 0x0002129C
某 0x000212BC
拇 0x000212DC
牡 0x000212FC
亩 0x0002131C
姆 0x0002133C
母 0x0002135C
墓 0x0002137C
暮 0x0002139C
幕 0x000213BC
募 0x000213DC
慕 0x000213FC
木 0x0002141C
目 0x0002143C
睦 0x0002145C
牧 0x0002147C
穆 0x0002149C
拿 0x000214BC
哪 0x000214DC
呐 0x000214FC
钠 0x0002151C
那 0x0002153C
娜 0x0002155C
纳 0x0002157C
氖 0x0002159C
乃 0x000215BC
奶 0x000215DC
耐 0x000215FC
奈 0x0002161C
南 0x0002163C
男 0x0002165C
难 0x0002167C
囊 0x0002169C
挠 0x000216BC
脑 0x000216DC
恼 0x000216FC
闹 0x0002171C
淖 0x0002173C
呢 0x0002175C
馁 0x0002177C
内 0x0002179C
嫩 0x000217BC
能 0x000217DC
妮 0x000217FC
霓 0x0002181C
倪 0x0002183C
泥 0x0002185C
尼 0x0002187C
拟 0x0002189C
你 0x000218BC
匿 0x000218DC
腻 0x000218FC
逆 0x0002191C
溺 0x0002193C
蔫 0x0002195C
拈 0x0002197C
年 0x0002199C
碾 0x000219BC
撵 0x000219DC
捻 0x000219FC
念 0x00021A1C
娘 0x00021A3C
酿 0x00021A5C
鸟 0x00021A7C
尿 0x00021A9C
捏 0x00021ABC
聂 0x00021ADC
孽 0x00021AFC
啮 0x00021B1C
镊 0x00021B3C
镍 0x00021B5C
涅 0x00021B7C
您 0x00021B9C
柠 0x00021BBC
狞 0x00021BDC
凝 0x00021BFC
宁 0x00021C1C
拧 0x00021C3C
泞 0x00021C5C
牛 0x00021C7C
扭 0x00021C9C
钮 0x00021CBC
纽 0x00021CDC
脓 0x00021CFC
浓 0x00021D1C
农 0x00021D3C
弄 0x00021D5C
奴 0x00021D7C
努 0x00021D9C
怒 0x00021DBC
女 0x00021DDC
暖 0x00021DFC
虐 0x00021E1C
疟 0x00021E3C
挪 0x00021E5C
懦 0x00021E7C
糯 0x00021E9C
诺 0x00021EBC
哦 0x00021EDC
欧 0x00021EFC
鸥 0x00021F1C
殴 0x00021F3C
藕 0x00021F5C
呕 0x00021F7C
偶 0x00021F9C
沤 0x00021FBC
啪 0x00021FDC
趴 0x00021FFC
爬 0x0002201C
帕 0x0002203C
怕 0x0002205C
琶 0x0002207C
拍 0x0002209C
排 0x000220BC
牌 0x000220DC
徘 0x000220FC
湃 0x0002211C
派 0x0002213C
攀 0x0002215C
潘 0x0002217C
盘 0x0002219C
磐 0x000221BC
盼 0x000221DC
畔 0x000221FC
判 0x0002221C
叛 0x0002223C
乓 0x0002225C
庞 0x0002227C
旁 0x0002229C
耪 0x000222BC
胖 0x000222DC
抛 0x000222FC
咆 0x0002231C
刨 0x0002233C
炮 0x0002235C
袍 0x0002237C
跑 0x0002239C
泡 0x000223BC
呸 0x000223DC
胚 0x000223FC
培 0x0002241C
裴 0x0002243C
赔 0x0002245C
陪 0x0002247C
配 0x0002249C
佩 0x000224BC
沛 0x000224DC
喷 0x000224FC
盆 0x0002251C
砰 0x0002253C
抨 0x0002255C
烹 0x0002257C
澎 0x0002259C
彭 0x000225BC
蓬 0x000225DC
棚 0x000225FC
硼 0x0002261C
篷 0x0002263C
膨 0x0002265C
朋 0x0002267C
鹏 0x0002269C
捧 0x000226BC
碰 0x000226DC
坯 0x000226FC
砒 0x0002271C
霹 0x0002273C
批 0x0002275C
披 0x0002277C
劈 0x0002279C
琵 0x000227BC
毗 0x000227DC
啤 0x000227FC
脾 0x0002281C
疲 0x0002283C
皮 0x0002285C
匹 0x0002287C
痞 0x0002289C
僻 0x000228BC
屁 0x000228DC
譬 0x000228FC
篇 0x0002291C
偏 0x0002293C
片 0x0002295C
骗 0x0002297C
飘 0x0002299C
漂 0x000229BC
瓢 0x000229DC
票 0x000229FC
撇 0x00022A1C
瞥 0x00022A3C
拼 0x00022A5C
频 0x00022A7C
贫 0x00022A9C
品 0x00022ABC
聘 0x00022ADC
乒 0x00022AFC
坪 0x00022B1C
苹 0x00022B3C
萍 0x00022B5C
平 0x00022B7C
凭 0x00022B9C
瓶 0x00022BBC
评 0x00022BDC
屏 0x00022BFC
坡 0x00022C1C
泼 0x00022C3C
颇 0x00022C5C
婆 0x00022C7C
破 0x00022C9C
魄 0x00022CBC
迫 0x00022CDC
粕 0x00022CFC
剖 0x00022D1C
扑 0x00022D3C
铺 0x00022D5C
仆 0x00022D7C
莆 0x00022D9C
葡 0x00022DBC
菩 0x00022DDC
蒲 0x00022DFC
埔 0x00022E1C
朴 0x00022E3C
圃 0x00022E5C
普 0x00022E7C
浦 0x00022E9C
谱 0x00022EBC
曝 0x00022EDC
瀑 0x00022EFC
期 0x00022F1C
欺 0x00022F3C
栖 0x00022F5C
戚 0x00022F7C
妻 0x00022F9C
七 0x00022FBC
凄 0x00022FDC
漆 0x00022FFC
柒 0x0002301C
沏 0x0002303C
其 0x0002305C
棋 0x0002307C
奇 0x0002309C
歧 0x000230BC
畦 0x000230DC
崎 0x000230FC
脐 0x0002311C
齐 0x0002313C
旗 0x0002315C
祈 0x0002317C
祁 0x0002319C
骑 0x000231BC
起 0x000231DC
岂 0x000231FC
乞 0x0002321C
企 0x0002323C
启 0x0002325C
契 0x0002327C
砌 0x0002329C
器 0x000232BC
气 0x000232DC
迄 0x000232FC
弃 0x0002331C
汽 0x0002333C
泣 0x0002335C
讫 0x0002337C
掐 0x0002339C
恰 0x000233BC
洽 0x000233DC
牵 0x000233FC
扦 0x0002341C
钎 0x0002343C
铅 0x0002345C
千 0x0002347C
迁 0x0002349C
签 0x000234BC
仟 0x000234DC
谦 0x000234FC
乾 0x0002351C
黔 0x0002353C
钱 0x0002355C
钳 0x0002357C
前 0x0002359C
潜 0x000235BC
遣 0x000235DC
浅 0x000235FC
谴 0x0002361C
堑 0x0002363C
嵌 0x0002365C
欠 0x0002367C
歉 0x0002369C
枪 0x000236BC
呛 0x000236DC
腔 0x000236FC
羌 0x0002371C
墙 0x0002373C
蔷 0x0002375C
强 0x0002377C
抢 0x0002379C
橇 0x000237BC
锹 0x000237DC
敲 0x000237FC
悄 0x0002381C
桥 0x0002383C
瞧 0x0002385C
乔 0x0002387C
侨 0x0002389C
巧 0x000238BC
鞘 0x000238DC
撬 0x000238FC
翘 0x0002391C
峭 0x0002393C
俏 0x0002395C
窍 0x0002397C
切 0x0002399C
茄 0x000239BC
且 0x000239DC
怯 0x000239FC
窃 0x00023A1C
钦 0x00023A3C
侵 0x00023A5C
亲 0x00023A7C
秦 0x00023A9C
琴 0x00023ABC
勤 0x00023ADC
芹 0x00023AFC
擒 0x00023B1C
禽 0x00023B3C
寝 0x00023B5C
沁 0x00023B7C
青 0x00023B9C
轻 0x00023BBC
氢 0x00023BDC
倾 0x00023BFC
卿 0x00023C1C
清 0x00023C3C
擎 0x00023C5C
晴 0x00023C7C
氰 0x00023C9C
情 0x00023CBC
顷 0x00023CDC
请 0x00023CFC
庆 0x00023D1C
琼 0x00023D3C
穷 0x00023D5C
秋 0x00023D7C
丘 0x00023D9C
邱 0x00023DBC
球 0x00023DDC
求 0x00023DFC
囚 0x00023E1C
酋 0x00023E3C
泅 0x00023E5C
趋 0x00023E7C
区 0x00023E9C
蛆 0x00023EBC
曲 0x00023EDC
躯 0x00023EFC
屈 0x00023F1C
驱 0x00023F3C
渠 0x00023F5C
取 0x00023F7C
娶 0x00023F9C
龋 0x00023FBC
趣 0x00023FDC
去 0x00023FFC
圈 0x0002401C
颧 0x0002403C
权 0x0002405C
醛 0x0002407C
泉 0x0002409C
全 0x000240BC
痊 0x000240DC
拳 0x000240FC
犬 0x0002411C
券 0x0002413C
劝 0x0002415C
缺 0x0002417C
炔 0x0002419C
瘸 0x000241BC
却 0x000241DC
鹊 0x000241FC
榷 0x0002421C
确 0x0002423C
雀 0x0002425C
裙 0x0002427C
群 0x0002429C
然 0x000242BC
燃 0x000242DC
冉 0x000242FC
染 0x0002431C
瓤 0x0002433C
壤 0x0002435C
攘 0x0002437C
嚷 0x0002439C
让 0x000243BC
饶 0x000243DC
扰 0x000243FC
绕 0x0002441C
惹 0x0002443C
热 0x0002445C
壬 0x0002447C
仁 0x0002449C
人 0x000244BC
忍 0x000244DC
韧 0x000244FC
任 0x0002451C
认 0x0002453C
刃 0x0002455C
妊 0x0002457C
纫 0x0002459C
扔 0x000245BC
仍 0x000245DC
日 0x000245FC
戎 0x0002461C
茸 0x0002463C
蓉 0x0002465C
荣 0x0002467C
融 0x0002469C
熔 0x000246BC
溶 0x000246DC
容 0x000246FC
绒 0x0002471C
冗 0x0002473C
揉 0x0002475C
柔 0x0002477C
肉 0x0002479C
茹 0x000247BC
蠕 0x000247DC
儒 0x000247FC
孺 0x0002481C
如 0x0002483C
辱 0x0002485C
乳 0x0002487C
汝 0x0002489C
入 0x000248BC
褥 0x000248DC
软 0x000248FC
阮 0x0002491C
蕊 0x0002493C
瑞 0x0002495C
锐 0x0002497C
闰 0x0002499C
润 0x000249BC
若 0x000249DC
弱 0x000249FC
撒 0x00024A1C
洒 0x00024A3C
萨 0x00024A5C
腮 0x00024A7C
鳃 0x00024A9C
塞 0x00024ABC
赛 0x00024ADC
三 0x00024AFC
叁 0x00024B1C
伞 0x00024B3C
散 0x00024B5C
桑 0x00024B7C
嗓 0x00024B9C
丧 0x00024BBC
搔 0x00024BDC
骚 0x00024BFC
扫 0x00024C1C
嫂 0x00024C3C
瑟 0x00024C5C
色 0x00024C7C
涩 0x00024C9C
森 0x00024CBC
僧 0x00024CDC
莎 0x00024CFC
砂 0x00024D1C
杀 0x00024D3C
刹 0x00024D5C
沙 0x00024D7C
纱 0x00024D9C
傻 0x00024DBC
啥 0x00024DDC
煞 0x00024DFC
筛 0x00024E1C
晒 0x00024E3C
珊 0x00024E5C
苫 0x00024E7C
杉 0x00024E9C
山 0x00024EBC
删 0x00024EDC
煽 0x00024EFC
衫 0x00024F1C
闪 0x00024F3C
陕 0x00024F5C
擅 0x00024F7C
赡 0x00024F9C
膳 0x00024FBC
善 0x00024FDC
汕 0x00024FFC
扇 0x0002501C
缮 0x0002503C
墒 0x0002505C
伤 0x0002507C
商 0x0002509C
赏 0x000250BC
晌 0x000250DC
上 0x000250FC
尚 0x0002511C
裳 0x0002513C
梢 0x0002515C
捎 0x0002517C
稍 0x0002519C
烧 0x000251BC
芍 0x000251DC
勺 0x000251FC
韶 0x0002521C
少 0x0002523C
哨 0x0002525C
邵 0x0002527C
绍 0x0002529C
奢 0x000252BC
赊 0x000252DC
蛇 0x000252FC
舌 0x0002531C
舍 0x0002533C
赦 0x0002535C
摄 0x0002537C
射 0x0002539C
慑 0x000253BC
涉 0x000253DC
社 0x000253FC
设 0x0002541C
砷 0x0002543C
申 0x0002545C
呻 0x0002547C
伸 0x0002549C
身 0x000254BC
深 0x000254DC
娠 0x000254FC
绅 0x0002551C
神 0x0002553C
沈 0x0002555C
审 0x0002557C
婶 0x0002559C
甚 0x000255BC
肾 0x000255DC
慎 0x000255FC
渗 0x0002561C
声 0x0002563C
生 0x0002565C
甥 0x0002567C
牲 0x0002569C
升 0x000256BC
绳 0x000256DC
省 0x000256FC
盛 0x0002571C
剩 0x0002573C
胜 0x0002575C
圣 0x0002577C
师 0x0002579C
失 0x000257BC
狮 0x000257DC
施 0x000257FC
湿 0x0002581C
诗 0x0002583C
尸 0x0002585C
虱 0x0002587C
十 0x0002589C
石 0x000258BC
拾 0x000258DC
时 0x000258FC
什 0x0002591C
食 0x0002593C
蚀 0x0002595C
实 0x0002597C
识 0x0002599C
史 0x000259BC
矢 0x000259DC
使 0x000259FC
屎 0x00025A1C
驶 0x00025A3C
始 0x00025A5C
式 0x00025A7C
示 0x00025A9C
士 0x00025ABC
世 0x00025ADC
柿 0x00025AFC
事 0x00025B1C
拭 0x00025B3C
誓 0x00025B5C
逝 0x00025B7C
势 0x00025B9C
是 0x00025BBC
嗜 0x00025BDC
噬 0x00025BFC
适 0x00025C1C
仕 0x00025C3C
侍 0x00025C5C
释 0x00025C7C
饰 0x00025C9C
氏 0x00025CBC
市 0x00025CDC
恃 0x00025CFC
室 0x00025D1C
视 0x00025D3C
试 0x00025D5C
收 0x00025D7C
手 0x00025D9C
首 0x00025DBC
守 0x00025DDC
寿 0x00025DFC
授 0x00025E1C
售 0x00025E3C
受 0x00025E5C
瘦 0x00025E7C
兽 0x00025E9C
蔬 0x00025EBC
枢 0x00025EDC
梳 0x00025EFC
殊 0x00025F1C
抒 0x00025F3C
输 0x00025F5C
叔 0x00025F7C
舒 0x00025F9C
淑 0x00025FBC
疏 0x00025FDC
书 0x00025FFC
赎 0x0002601C
孰 0x0002603C
熟 0x0002605C
薯 0x0002607C
暑 0x0002609C
曙 0x000260BC
署 0x000260DC
蜀 0x000260FC
黍 0x0002611C
鼠 0x0002613C
属 0x0002615C
术 0x0002617C
述 0x0002619C
树 0x000261BC
束 0x000261DC
戍 0x000261FC
竖 0x0002621C
墅 0x0002623C
庶 0x0002625C
数 0x0002627C
漱 0x0002629C
恕 0x000262BC
刷 0x000262DC
耍 0x000262FC
摔 0x0002631C
衰 0x0002633C
甩 0x0002635C
帅 0x0002637C
栓 0x0002639C
拴 0x000263BC
霜 0x000263DC
双 0x000263FC
爽 0x0002641C
谁 0x0002643C
水 0x0002645C
睡 0x0002647C
税 0x0002649C
吮 0x000264BC
瞬 0x000264DC
顺 0x000264FC
舜 0x0002651C
说 0x0002653C
硕 0x0002655C
朔 0x0002657C
烁 0x0002659C
斯 0x000265BC
撕 0x000265DC
嘶 0x000265FC
思 0x0002661C
私 0x0002663C
司 0x0002665C
丝 0x0002667C
死 0x0002669C
肆 0x000266BC
寺 0x000266DC
嗣 0x000266FC
四 0x0002671C
伺 0x0002673C
似 0x0002675C
饲 0x0002677C
巳 0x0002679C
松 0x000267BC
耸 0x000267DC
怂 0x000267FC
颂 0x0002681C
送 0x0002683C
宋 0x0002685C
讼 0x0002687C
诵 0x0002689C
搜 0x000268BC
艘 0x000268DC
擞 0x000268FC
嗽 0x0002691C
苏 0x0002693C
酥 0x0002695C
俗 0x0002697C
素 0x0002699C
速 0x000269BC
粟 0x000269DC
僳 0x000269FC
塑 0x00026A1C
溯 0x00026A3C
宿 0x00026A5C
诉 0x00026A7C
肃 0x00026A9C
酸 0x00026ABC
蒜 0x00026ADC
算 0x00026AFC
虽 0x00026B1C
隋 0x00026B3C
随 0x00026B5C
绥 0x00026B7C
髓 0x00026B9C
碎 0x00026BBC
岁 0x00026BDC
穗 0x00026BFC
遂 0x00026C1C
隧 0x00026C3C
祟 0x00026C5C
孙 0x00026C7C
损 0x00026C9C
笋 0x00026CBC
蓑 0x00026CDC
梭 0x00026CFC
唆 0x00026D1C
缩 0x00026D3C
琐 0x00026D5C
索 0x00026D7C
锁 0x00026D9C
所 0x00026DBC
塌 0x00026DDC
他 0x00026DFC
它 0x00026E1C
她 0x00026E3C
塔 0x00026E5C
獭 0x00026E7C
