CFGMEM_ID,HIDDEN,NAME,COMPATIBLE_DEVICES,MEM_DEVICE,MEM_TYPE,MEM_DENSITY,DATA_WIDTH,COMPATIBLE_RS_PINS,MEM_MANUFACTURER,MEM_INTERFACE_FILE,NUM_CFG_FILES,MEM_DEVICE_ALIAS,MEM_FAMILY
82,0,s25fl164k-spi-x1_x2_x4,#NAME?,s25fl164k,spi,64,x1_x2_x4,,Spansion,,1,,s25fl1
83,0,s25fl256sxxxxxx0-spi-x1_x2_x4,#NAME?,s25fl256sxxxxxx0,spi,256,x1_x2_x4,,Spansion,,1,,s25flxxxs
84,0,s25fl512s-spi-x1_x2_x4,#NAME?,s25fl512s,spi,512,x1_x2_x4,,Spansion,,1,,s25flxxxs
89,0,mt25qu512-spi-x1_x2_x4,#NAME?,mt25qu512,spi,512,x1_x2_x4,,Micron,,1,,mt25qu
90,0,mt25ql128-spi-x1_x2_x4,#NAME?,mt25ql128,spi,128,x1_x2_x4,,Micron,,1,n25q128-3.3v-spi-x1_x2_x4,mt25ql
91,0,mt25qu128-spi-x1_x2_x4,#NAME?,mt25qu128,spi,128,x1_x2_x4,,Micron,,1,n25q128-1.8v-spi-x1_x2_x4,mt25qu
92,0,mt25ql256-spi-x1_x2_x4,#NAME?,mt25ql256,spi,256,x1_x2_x4,,Micron,,1,n25q256-3.3v-spi-x1_x2_x4,mt25ql
93,0,mt25qu256-spi-x1_x2_x4_x8,#NAME?,mt25qu256,spi,256,x1_x2_x4_x8,,Micron,,2,n25q256-1.8v-spi-x1_x2_x4_x8,mt25qu
94,0,n25q32-3.3v-spi-x1_x2_x4,#NAME?,n25q32-3.3v,spi,32,x1_x2_x4,,Micron,,1,,n25q
95,0,n25q32-1.8v-spi-x1_x2_x4,#NAME?,n25q32-1.8v,spi,32,x1_x2_x4,,Micron,,1,,n25q
96,0,n25q64-3.3v-spi-x1_x2_x4,#NAME?,n25q64-3.3v,spi,64,x1_x2_x4,,Micron,,1,,n25q
97,0,n25q64-1.8v-spi-x1_x2_x4,#NAME?,n25q64-1.8v,spi,64,x1_x2_x4,,Micron,,1,,n25q
100,0,28f032m29ewt-nor-x8,#NAME?,28f032m29ewt,nor,32,x8,,Micron,,1,,m29ew
101,0,28f064m29ewt-nor-x8,#NAME?,28f064m29ewt,nor,64,x8,,Micron,,1,,m29ew
102,0,28f128m29ewh-nor-x8,#NAME?,28f128m29ewh,nor,128,x8,,Micron,,1,,m29ew
103,0,28f256m29ewh-nor-x8,#NAME?,28f256m29ewh,nor,256,x8,,Micron,,1,,m29ew
104,0,28f512m29ewh-nor-x8,#NAME?,28f512m29ewh,nor,512,x8,,Micron,,1,,m29ew
120,0,mt29f2g08ab-nand-x8,#NAME?,mt29f2g08ab,nand,2048,x8,,Micron,,1,,mt29f
121,0,mt29f2g16ab-nand-x16,#NAME?,mt29f2g16ab,nand,2048,x16,,Micron,,1,,mt29f
122,0,s34ml02g1-nand-x8,#NAME?,s34ml02g1,nand,2048,x8,,Spansion,,1,,s34ml
123,0,s34ml02g1-nand-x16,#NAME?,s34ml02g1,nand,2048,x16,,Spansion,,1,,s34ml
124,0,s34ml01g1-nand-x8,#NAME?,s34ml01g1,nand,1024,x8,,Spansion,,1,,s34ml
125,0,s34ml01g1-nand-x16,#NAME?,s34ml01g1,nand,1024,x16,,Spansion,,1,,s34ml
140,0,n25q64-1.8v-qspi-x4-single,#NAME?,n25q64-1.8v,qspi,64,x4-single,,Micron,,1,,n25q
141,0,n25q64-1.8v-qspi-x8-dual_parallel,#NAME?,n25q64-1.8v,qspi,64,x8-dual_parallel,,Micron,,1,,n25q
142,0,n25q64-1.8v-qspi-x4-dual_stacked,#NAME?,n25q64-1.8v,qspi,64,x4-dual_stacked,,Micron,,1,,n25q
146,0,mt25qu128-qspi-x4-single,#NAME?,mt25qu128,qspi,128,x4-single,,Micron,,1,n25q128-1.8v-qspi-x4-single,mt25qu
147,0,mt25qu128-qspi-x8-dual_parallel,#NAME?,mt25qu128,qspi,128,x8-dual_parallel,,Micron,,1,n25q128-1.8v-qspi-x8-dual_parallel,mt25qu
148,0,mt25qu128-qspi-x4-dual_stacked,#NAME?,mt25qu128,qspi,128,x4-dual_stacked,,Micron,,1,n25q128-1.8v-qspi-x4-dual_stacked,mt25qu
149,0,mt25qu256-qspi-x4-single,#NAME?,mt25qu256,qspi,256,x4-single,,Micron,,1,n25q256-1.8v-qspi-x4-single,mt25qu
150,0,mt25qu256-qspi-x8-dual_parallel,#NAME?,mt25qu256,qspi,256,x8-dual_parallel,,Micron,,1,n25q256-1.8v-qspi-x8-dual_parallel,mt25qu
151,0,mt25qu256-qspi-x4-dual_stacked,#NAME?,mt25qu256,qspi,256,x4-dual_stacked,,Micron,,1,n25q256-1.8v-qspi-x4-dual_stacked,mt25qu
152,0,mt25qu512-qspi-x4-single,#NAME?,mt25qu512,qspi,512,x4-single,,Micron,,1,n25q512-1.8v-qspi-x4-single,mt25qu
153,0,mt25qu512-qspi-x8-dual_parallel,#NAME?,mt25qu512,qspi,512,x8-dual_parallel,,Micron,,1,n25q512-1.8v-qspi-x8-dual_parallel,mt25qu
154,0,mt25qu512-qspi-x4-dual_stacked,#NAME?,mt25qu512,qspi,512,x4-dual_stacked,,Micron,,1,n25q512-1.8v-qspi-x4-dual_stacked,mt25qu
155,0,mt25qu01g-qspi-x4-single,#NAME?,mt25qu01g,qspi,1024,x4-single,,Micron,,1,n25q00a-1.8v-qspi-x4-single,mt25qu
156,0,mt25qu01g-qspi-x8-dual_parallel,#NAME?,mt25qu01g,qspi,1024,x8-dual_parallel,,Micron,,1,n25q00a-1.8v-qspi-x8-dual_parallel,mt25qu
157,0,mt25qu01g-qspi-x4-dual_stacked,#NAME?,mt25qu01g,qspi,1024,x4-dual_stacked,,Micron,,1,n25q00a-1.8v-qspi-x4-dual_stacked,mt25qu
160,0,s25fl129p-qspi-x4-single,#NAME?,s25fl129p,qspi,128,x4-single,,Spansion,,1,,s25flxxxp
161,0,s25fl129p-qspi-x8-dual_parallel,#NAME?,s25fl129p,qspi,128,x8-dual_parallel,,Spansion,,1,,s25flxxxp
162,0,s25fl129p-qspi-x4-dual_stacked,#NAME?,s25fl129p,qspi,128,x4-dual_stacked,,Spansion,,1,,s25flxxxp
163,0,s25fl128s-3.3v-qspi-x4-single,#NAME?,s25fl128s-3.3v,qspi,128,x4-single,,Spansion,,1,s25fl127s-3.3v-qspi-x4-single,s25flxxxs
164,0,s25fl128s-3.3v-qspi-x8-dual_parallel,#NAME?,s25fl128s-3.3v,qspi,128,x8-dual_parallel,,Spansion,,1,s25fl127s-3.3v-qspi-x8-dual_parallel,s25flxxxs
165,0,s25fl128s-3.3v-qspi-x4-dual_stacked,#NAME?,s25fl128s-3.3v,qspi,128,x4-dual_stacked,,Spansion,,1,s25fl127s-3.3v-qspi-x4-dual_stacked,s25flxxxs
166,0,s25fl128s-1.8v-qspi-x4-single,#NAME?,s25fl128s-1.8v,qspi,128,x4-single,,Spansion,,1,s25fl127s-1.8v-qspi-x4-single,s25flxxxs
167,0,s25fl128s-1.8v-qspi-x8-dual_parallel,#NAME?,s25fl128s-1.8v,qspi,128,x8-dual_parallel,,Spansion,,1,s25fl127s-1.8v-qspi-x8-dual_parallel,s25flxxxs
168,0,s25fl128s-1.8v-qspi-x4-dual_stacked,#NAME?,s25fl128s-1.8v,qspi,128,x4-dual_stacked,,Spansion,,1,s25fl127s-1.8v-qspi-x4-dual_stacked,s25flxxxs
169,0,s25fl256s-3.3v-qspi-x4-single,#NAME?,s25fl256s-3.3v,qspi,256,x4-single,,Spansion,,1,,s25flxxxs
170,0,s25fl256s-3.3v-qspi-x8-dual_parallel,#NAME?,s25fl256s-3.3v,qspi,256,x8-dual_parallel,,Spansion,,1,,s25flxxxs
171,0,s25fl256s-3.3v-qspi-x4-dual_stacked,#NAME?,s25fl256s-3.3v,qspi,256,x4-dual_stacked,,Spansion,,1,,s25flxxxs
172,0,s25fl256s-1.8v-qspi-x4-single,#NAME?,s25fl256s-1.8v,qspi,256,x4-single,,Spansion,,1,,s25flxxxs
173,0,s25fl256s-1.8v-qspi-x8-dual_parallel,#NAME?,s25fl256s-1.8v,qspi,256,x8-dual_parallel,,Spansion,,1,,s25flxxxs
174,0,s25fl256s-1.8v-qspi-x4-dual_stacked,#NAME?,s25fl256s-1.8v,qspi,256,x4-dual_stacked,,Spansion,,1,,s25flxxxs
180,0,s25fl512s-1.8v-qspi-x4-single,#NAME?,s25fl512s-1.8v,qspi,512,x4-single,,Spansion,,1,,s25flxxxs
181,0,s25fl512s-1.8v-qspi-x8-dual_parallel,#NAME?,s25fl512s-1.8v,qspi,512,x8-dual_parallel,,Spansion,,1,,s25flxxxs
182,0,s25fl512s-1.8v-qspi-x4-dual_stacked,#NAME?,s25fl512s-1.8v,qspi,512,x4-dual_stacked,,Spansion,,1,,s25flxxxs
185,0,s70fl01gs_00-qspi-x4-dual_stacked,#NAME?,s70fl01gs_00,qspi,1024,x4-dual_stacked,,Spansion,,1,,s70flxxxp
190,0,w25q128fv-qspi-x4-single,#NAME?,w25q128fv,qspi,128,x4-single,,Winbond,,1,w25q128jv-qspi-x4-single,w25q
191,0,w25q128fv-qspi-x8-dual_parallel,#NAME?,w25q128fv,qspi,128,x8-dual_parallel,,Winbond,,1,w25q128jv-qspi-x8-dual_parallel,w25q
192,0,w25q128fv-qspi-x4-dual_stacked,#NAME?,w25q128fv,qspi,128,x4-dual_stacked,,Winbond,,1,w25q128jv-qspi-x4-dual_stacked,w25q
193,0,mt25qu256-spi-x1_x2_x4,#NAME?,mt25qu256,spi,256,x1_x2_x4,,Micron,,1,n25q256-1.8v-spi-x1_x2_x4,mt25qu
194,0,s25fl128sxxxxxx1-spi-x1_x2_x4,#NAME?,s25fl128sxxxxxx1,spi,128,x1_x2_x4,,Spansion,,1,,s25flxxxs
195,0,s25fl256sxxxxxx1-spi-x1_x2_x4,#NAME?,s25fl256sxxxxxx1,spi,256,x1_x2_x4,,Spansion,,1,,s25flxxxs
196,0,mt28gu256aax1e-bpi-x16,#NAME?,mt28gu256aax1e,bpi,256,x16,"""23:13""",Micron,,1,28f256g18f-bpi-x16,g18
197,0,mt28gu512aax1e-bpi-x16,#NAME?,mt28gu512aax1e,bpi,512,x16,"""24:13""",Micron,,1,28f512g18f-bpi-x16,g18
198,0,mt28gu01gaax1e-bpi-x16,#NAME?,mt28gu01gaax1e,bpi,1024,x16,"""25:13""",Micron,,1,28f00ag18f-bpi-x16,g18
199,0,mt25qu512-spi-x1_x2_x4_x8,#NAME?,mt25qu512,spi,512,x1_x2_x4_x8,,Micron,,2,,mt25qu
200,0,mt25ql512-spi-x1_x2_x4,#NAME?,mt25ql512,spi,512,x1_x2_x4,,Micron,,1,,mt25ql
201,0,mt25ql512-spi-x1_x2_x4_x8,#NAME?,mt25ql512,spi,512,x1_x2_x4_x8,,Micron,,2,,mt25ql
202,0,s25fl132k-spi-x1_x2_x4,#NAME?,s25fl132k,spi,32,x1_x2_x4,,Spansion,,1,,s25fl1
203,0,s70gl02gp-bpi-x16,#NAME?,s70gl02gp,bpi,2048,x16,"""26:13""",Spansion,,1,,s29glxxxp
204,0,s70gl02gs-bpi-x16,#NAME?,s70gl02gs,bpi,2048,x16,"""26:13""",Spansion,,1,,s29glxxxs
205,0,mt25ql01g-spi-x1_x2_x4,#NAME?,mt25ql01g,spi,1024,x1_x2_x4,,Micron,,1,,mt25ql
206,0,mt25ql01g-spi-x1_x2_x4_x8,#NAME?,mt25ql01g,spi,1024,x1_x2_x4_x8,,Micron,,2,,mt25ql
207,0,mt25ql02g-spi-x1_x2_x4,#NAME?,mt25ql02g,spi,2048,x1_x2_x4,,Micron,,1,,mt25ql
208,0,mt25ql02g-spi-x1_x2_x4_x8,#NAME?,mt25ql02g,spi,2048,x1_x2_x4_x8,,Micron,,2,,mt25ql
209,0,mt25qu01g-spi-x1_x2_x4,#NAME?,mt25qu01g,spi,1024,x1_x2_x4,,Micron,,1,,mt25qu
